cuenta	partido	timestamp	tweet
a34133350b0605cb24081843f63176ca	psoe	1363973492.0	@vesteve3 @manubenas @ccoo_rm @desobediencia_ @ccoo @emparempar (Buen ánimo para esta primavera que iniciamos).
a34133350b0605cb24081843f63176ca	psoe	1364061035.0	"“@kirovast: @Hugo_Moran muy fan de la ""radicalidad social""” (Frente a la devaluación democrática)."
a34133350b0605cb24081843f63176ca	psoe	1364116804.0	@ALTAS_PRESIONES Nuevos dueños para las renovables. En ese momento ya no serán un problema sino una apuesta magnífica.
a34133350b0605cb24081843f63176ca	psoe	1364120967.0	@jumanjisolar @solartradex @josea_dolera El diferencial de precios energéticos con Alemania o Francia sigue siendo el mismo, 8-11 €/MWh.
a34133350b0605cb24081843f63176ca	psoe	1364152692.0	“@cesarnayu: https://t.co/J4OTXj1x7w … Por favor es importante difundir este mensaje para concienciar ¿ me puedes retwittear ? (Hecho).
a34133350b0605cb24081843f63176ca	psoe	1364153876.0	“@iAgua: http://t.co/6yMSNcV1UA” (El Gobierno sigue adelante con sus planes de privatización hidrológica).
a34133350b0605cb24081843f63176ca	psoe	1364154823.0	"""Cospedal: las crisis ya no afectan a España. Guindos: si no se resuelve la crisis de Chipre puede contagiar a España""."
a34133350b0605cb24081843f63176ca	psoe	1364201862.0	“@ventonoso: España importa ya energía de Portugal porque es más barata http://t.co/TSbz4H6dWt” (Y en 1 o 2 meses de Francia).
a34133350b0605cb24081843f63176ca	psoe	1364207063.0	@elsoldemerix El Gobierno Andaluz presenta recurso de inconstitucionalidad contra la Ley 15/2012 y los RRDD 29/2012 y 2/2013.
a34133350b0605cb24081843f63176ca	psoe	1364210903.0	“@mjocaballero: Maria Dolores de Cospedal demanda a Greenpeace por vulnerar su honor (Pero será demanda simulada y en diferido, ¿no?).
a34133350b0605cb24081843f63176ca	psoe	1364323164.0	@dhowellseo Primer paso para cumplir la DMA, impedir los mercadeos privados de derechos concesionales en todas las cuencas.
a34133350b0605cb24081843f63176ca	psoe	1364371214.0	"""Ayer el TC publicó su sentencia contra la Ley de Montes de 2003 que Cañete quiere rescatar. Cualquier tiempo pasado sólo fue eso, pasado""."
a34133350b0605cb24081843f63176ca	psoe	1364371930.0	“@josearroyobravo: @Hugo_Moran que país!!! Algún interés habrá!!!” (Con el ladrillo hemos topado, amigo Sancho).
a34133350b0605cb24081843f63176ca	psoe	1364380875.0	@LuisSalmonCabal @innoredes Por un evidente análisis erróneo del alcance de la medida y de sus consecuencias.
a34133350b0605cb24081843f63176ca	psoe	1364400568.0	"“@EPEconomia: El #Ibex cede un 1,13% al cierre con la #prima en 380 puntos"".(Una simulación, según Cospedal)."
a34133350b0605cb24081843f63176ca	psoe	1364550957.0	"""Rajoy no sólo engaña a UE con déficit económico. También con el ambiental y el climático""."
a34133350b0605cb24081843f63176ca	psoe	1364584420.0	"“@ridermarina: Rajoy intenta ""tapar"" a Bárcenas con su agenda internacional http://t.co/SMwkj65Qcs vía @publico_es” (tapar=huir)."
a34133350b0605cb24081843f63176ca	psoe	1364584879.0	“@la_informacion: Un estudiante de 19 años inventa un sistema para limpiar los océanos de plástico http://t.co/YLRo4oWvF0” (¿Y por qué no?).
a34133350b0605cb24081843f63176ca	psoe	1364633884.0	"""EEUU legisla contra las emisiones de vehículos. El cambio climático para el PP es una profecía maya. Vamos bien""."
a34133350b0605cb24081843f63176ca	psoe	1364634355.0	"""Lecturas sobre el hundimiento del consumo energético. Banco de España: 2013 peor. Gobierno: 2013 mejor""."
a34133350b0605cb24081843f63176ca	psoe	1364634633.0	@ubunteacher EEUU, EPA presenta el Tier 3, objetivos a 2017: -60% azufre; -80% óxidos de nitrógeno.
a34133350b0605cb24081843f63176ca	psoe	1364635963.0	@ubunteacher 2030: estación intermedia en hoja de ruta energética UE 2050, (fundamental ahorro y eficiencia). España votó en contra.
a34133350b0605cb24081843f63176ca	psoe	1364641209.0	@PacoRamosM En este caso emisiones de azufre y óxido de nitrógeno en consumo de carburantes.
a34133350b0605cb24081843f63176ca	psoe	1364668141.0	"""Nada como una plácida tarde de sábado para la reflexión"". http://t.co/pbbc7Q1fwn"
a34133350b0605cb24081843f63176ca	psoe	1364668843.0	"""Mi personal homenaje a Luis Martínez Noval. Un socialista bueno y un hombre entrañable""."
a34133350b0605cb24081843f63176ca	psoe	1364672967.0	@LuisSalmonCabal @innoredes Volveremos a proponerle al Gobierno una hoja de ruta para las renovables estable y segura.
a34133350b0605cb24081843f63176ca	psoe	1364842184.0	@elsoldemerix @joselarcones @cristinanarbona @sra900 @_rubalcaba_ intento responder a todo lo que me planteas, aunque puede pasárseme algo.
a34133350b0605cb24081843f63176ca	psoe	1364842660.0	@enriquefmiranda Respecto al fracking, aceptarlo no es sinónimo de seriedad. Es más, no aceptarlo puede ser incluso más serio.
a34133350b0605cb24081843f63176ca	psoe	1364842819.0	@enriquefmiranda ¿Por qué cerrar la puerta al fracking es demagogia y abrirla no? Aceptemos el principio de precaución.
a34133350b0605cb24081843f63176ca	psoe	1364843933.0	@aariastorres @enriquefmiranda No es así. El PSOE ha propuesto una moratoria en tanto hay informe de expertos y decisión del Parlamento.
a34133350b0605cb24081843f63176ca	psoe	1364844000.0	@aariastorres @enriquefmiranda Más aún, fue el PSOE quien primero propuso un debate sobre fracking en el Congreso.
a34133350b0605cb24081843f63176ca	psoe	1364844051.0	@elsoldemerix @joselarcones @cristinanarbona @sra900 @_rubalcaba_ No hay semana en que el PSOE no se siente con el sector de renovables.
a34133350b0605cb24081843f63176ca	psoe	1364844139.0	@elsoldemerix @joselarcones @cristinanarbona @sra900 @_rubalcaba_ Muchas iniciativas del PSOE en Parlamento vienen de diálogo con renovables
a34133350b0605cb24081843f63176ca	psoe	1364890288.0	@elsoldemerix @joselarcones @cristinanarbona @sra900 @_rubalcaba_ @anpier_asoc Anpier es interlocutor en colaboración mutua.
a34133350b0605cb24081843f63176ca	psoe	1364890364.0	@jotacastrogil @elsoldemerix @cristinanarbona @sra900 Actuales acciones: recurso al TC vía Andalucía, y Bruselas vía PE.
a34133350b0605cb24081843f63176ca	psoe	1364890466.0	@aariastorres @enriquefmiranda El PE recomendó principio de precaución. Moratoria y grupo de expertos decidió Francia en 2011.
a34133350b0605cb24081843f63176ca	psoe	1364890691.0	@aariastorres @enriquefmiranda El fracking requiere una regulación de país. Si no es así, cada municipio o CCAA decide.
a34133350b0605cb24081843f63176ca	psoe	1364891055.0	“@ambientologos: Parque Nacional de la Sierra de Guadarrama. http://t.co/PoQxjazIay” (¿Por qué se frustró la participación ciudadana?).
a34133350b0605cb24081843f63176ca	psoe	1364910421.0	@aariastorres @enriquefmiranda El auténtico problema es que los discursos infra proteccionistas son una condena.
a34133350b0605cb24081843f63176ca	psoe	1364910500.0	@aariastorres @enriquefmiranda Pricipio de precaución y sostenibilidad no son equivalentes, sino sucesivos.
a34133350b0605cb24081843f63176ca	psoe	1364910731.0	@enriquefmiranda @aariastorres Hay más populismo en la promesa de riqueza por la explotación de recursos naturales que en su conservación.
a34133350b0605cb24081843f63176ca	psoe	1364911009.0	“@CSarompas: Gracias !!!..Saludos desde Melilla.” (Línea abierta Melilla-Madrid-Asturias. Un saludo).
a34133350b0605cb24081843f63176ca	psoe	1364911562.0	“@sextaNoticias: El Gobierno elimina la fecha de caducidad de los yogures (Que no es lo mismo que prohibir su caducidad).
a34133350b0605cb24081843f63176ca	psoe	1364913480.0	@aariastorres @enriquefmiranda Lo sucesivo a la no precaución suele ser el desastre, a veces irreversible.
a34133350b0605cb24081843f63176ca	psoe	1364913623.0	@aariastorres @enriquefmiranda Si hay que reforzar la legislación ambiental conviene no actuar con la insuficiente: precaución.
a34133350b0605cb24081843f63176ca	psoe	1364913761.0	@aariastorres @enriquefmiranda La sostenibilidad es a los recursos naturales lo que la austeridad a los económicos.
a34133350b0605cb24081843f63176ca	psoe	1364919234.0	@aariastorres @enriquefmiranda El principio de precaución antecede a la acción legislativa, de ahí que sea principio.
a34133350b0605cb24081843f63176ca	psoe	1364924362.0	"""Se hace raro sobrevolar media España en estas fechas sin que las nubes te dejen ver ni un trocito de suelo""."
a34133350b0605cb24081843f63176ca	psoe	1364932389.0	“@arenasjp: “A la niña de siete años la violaron tantos soldados que la mataron” http://t.co/YdU41ONa7G (¿Cabe mayor depravación?).
a34133350b0605cb24081843f63176ca	psoe	1365013829.0	“@blogdelagua: Terremotos fruto de la actividad humana http://t.co/DYsTGKHjbO” (No digo nada y lo digo todo)
a34133350b0605cb24081843f63176ca	psoe	1365150231.0	“@ventonoso: Duelo entre Cospedal y Santamaría en Iberdrola http://t.co/QNay9DbTQo via @ElHuffPost (Va en el recibo de la luz)
a34133350b0605cb24081843f63176ca	psoe	1365157753.0	"""Inquietantes informes de ENRESA sobre inestabilidad del terreno elegido para el ATC ¿No procedería reconsiderarlo?""."
a34133350b0605cb24081843f63176ca	psoe	1365158154.0	"""Tocaba celebrar el fin de semana en Lena la fiesta de la virgen de la flor. Habrá que cambiarla por la de las nieves""."
a34133350b0605cb24081843f63176ca	psoe	1365159786.0	@Defcom10 ¿Inundaciones? Me refería a la geología del subsuelo. Los yesos no son la mejor opción para un ATC.
a34133350b0605cb24081843f63176ca	psoe	1365162804.0	@Defcom10 Los sondeos indican yesos en subsuelo, dijo ENRESA en su comparecencia. Creo oportuno reubicarlo, digo yo.
a34133350b0605cb24081843f63176ca	psoe	1365163514.0	@Defcom10 El estudio geológico para el ATC es de julio de 2012. Está en la web de ENRESA.
a34133350b0605cb24081843f63176ca	psoe	1365168425.0	@Defcom10 Me temo que con el ATC va a haber mucha tela que cortar. Hay evidencias difíciles de ocultar.
a34133350b0605cb24081843f63176ca	psoe	1365170542.0	@Defcom10 Creo que debe reiniciarse el proceso del ATC con solidez técnica. Se ganaría en seguridad y tiempo.
a34133350b0605cb24081843f63176ca	psoe	1365189530.0	@Defcom10 @siatc_villar Con el ATC, mejor dar ahora un paso atrás antes que avanzar en vano. Quienes sabéis de esto debéis pedir cordura.
a34133350b0605cb24081843f63176ca	psoe	1365190001.0	“@Sorayapp: Hoy se ha aprobado una reforma que cambia la política de vivienda para dar un impulso a este sector.” (Me temo que no es así).
a34133350b0605cb24081843f63176ca	psoe	1365190211.0	“@JesusGervas: El partido de Berlusconi ganaría unas nuevas elecciones en Italia http://t.co/UzmjlQpMW8 vía @20m” (y perdería Italia).
a34133350b0605cb24081843f63176ca	psoe	1365190268.0	@Defcom10 @siatc_villar Totalmente de acuerdo contigo.
a34133350b0605cb24081843f63176ca	psoe	1365190646.0	@Defcom10 @siatc_villar Tenemos centrales y residuos, y la responsabilidad de gestionarlos. No es cuestión de gustos.
a34133350b0605cb24081843f63176ca	psoe	1365538851.0	“@acerrillo3: El Gobierno 'amnistía' a más de la mitad de las especies invasoras: http://t.co/w4Qel6PYkZ (Es que puestos a amnistiar...).
a34133350b0605cb24081843f63176ca	psoe	1365539636.0	"""Torrente Ballester escribiría hoy la Crónica del Presidente Plasmado. Las ciencias adelantan que es una barbaridad""."
a34133350b0605cb24081843f63176ca	psoe	1365541520.0	"“@NuModEnergetico Soria asegura que España no puede perderse la carrera del 'fracking' (Ya lo dijo Campoamor: no corráis porque es peor)""."
a34133350b0605cb24081843f63176ca	psoe	1365571339.0	"""De la Ley de Costas a la costa sin ley, o la propiedad privada por encima del patrimonio público""."
a34133350b0605cb24081843f63176ca	psoe	1365571491.0	"""De la Ley de Costas a la costa sin ley, o un Gobierno con intereses particulares que se desentiende del interés general""."
